cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
"Carbon dioxide, non-fossil",0.021,biosphere3,,kilogram,air::urban air close to ground,biosphere,,,,,,,,,,,,
carbon dioxide capture system,1,carculator db,RER,unit,,technosphere,,,,,,,,,,,,
"market for electricity, low voltage",0.517,cutoff 36,CH,kilowatt hour,,technosphere,"electricity, low voltage","waste heat, burden-free",,,,,,,,,,
"market for air compressor, screw-type compressor, 300kW",9.89E-10,cutoff 36,GLO,unit,,technosphere,"air compressor, screw-type compressor, 300kW",scaled down to compress to 25 bar,,,,,,,,,,
"market for electricity, low voltage",0.578,cutoff 36,CH,kilowatt hour,,technosphere,"electricity, low voltage",of which 0.078kWh to compress CO2 from 1 atm to 25 bar,,,,,,,,,,
"market for gas turbine, 10MW electrical",2.54E-11,cutoff 36,GLO,unit,,technosphere,"gas turbine, 10MW electrical",,,,,,,,,,,
"treatment of spent anion exchange resin from potable water production, municipal incineration",-0.003,cutoff 36,RoW,kilogram,,technosphere,spent anion exchange resin from potable water production,sorbant,,,,,,,,,,
"market for transport, freight, lorry, unspecified",0.0000744,cutoff 36,RER,ton kilometer,,technosphere,"transport, freight, lorry, unspecified",,,,,,,,,,,
"transport, pipeline, supercritical CO2, 200km w/o recompression",0.001,carculator db,RER,ton kilometer,,technosphere,"transport, pipeline, supercritical CO2, 200km w/o recompression",pipeline of 1 km long,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, energy allocation, at fuelling station, EP2050",,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
production amount,1,,,,,,,,,,,,,,,,,
reference product,"diesel, synthetic, vehicle grade",,,,,,,,,,,,,,,,,
type,process,,,,,,,,,,,,,,,,,
